INFO	 | watchfiles.main	 | 2025-09-29 11:16:36	 | _log_changes:308	 | 1 change detected
INFO	 | uvicorn.error	 | 2025-09-29 11:16:36	 | _serve:84	 | Started server process [3484]
INFO	 | uvicorn.error	 | 2025-09-29 11:16:36	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-29 11:16:36	 | startup:62	 | Application startup complete.
INFO	 | watchfiles.main	 | 2025-09-29 11:16:55	 | _log_changes:308	 | 1 change detected
INFO	 | uvicorn.error	 | 2025-09-29 11:16:55	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-29 11:16:55	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-29 11:16:55	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-29 11:16:55	 | _serve:94	 | Finished server process [3484]
INFO	 | watchfiles.main	 | 2025-09-29 11:16:56	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:16:56	 | _log_changes:308	 | 1 change detected
INFO	 | uvicorn.error	 | 2025-09-29 11:16:56	 | _serve:84	 | Started server process [1180]
INFO	 | uvicorn.error	 | 2025-09-29 11:16:56	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-29 11:16:56	 | startup:62	 | Application startup complete.
INFO	 | watchfiles.main	 | 2025-09-29 11:17:04	 | _log_changes:308	 | 3 changes detected
INFO	 | uvicorn.error	 | 2025-09-29 11:17:04	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-29 11:17:05	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-29 11:17:05	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-29 11:17:05	 | _serve:94	 | Finished server process [1180]
INFO	 | watchfiles.main	 | 2025-09-29 11:17:05	 | _log_changes:308	 | 7 changes detected
INFO	 | watchfiles.main	 | 2025-09-29 11:17:06	 | _log_changes:308	 | 2 changes detected
INFO	 | uvicorn.error	 | 2025-09-29 11:17:06	 | _serve:84	 | Started server process [22096]
INFO	 | uvicorn.error	 | 2025-09-29 11:17:06	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-29 11:17:06	 | startup:62	 | Application startup complete.
INFO	 | watchfiles.main	 | 2025-09-29 11:17:17	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:17:29	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:17:48	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:18:03	 | _log_changes:308	 | 1 change detected
